Specy,Genus,Temperature,Light,GrowthRate
Caloneis schroderi,Caloneis,5,5000,-0.01
Caloneis schroderi,Caloneis,5,2500,-0.5
Caloneis schroderi,Caloneis,10,5000,-0.1
Caloneis schroderi,Caloneis,10,2500,0.25
Caloneis schroderi,Caloneis,25,5000,0.28
Caloneis schroderi,Caloneis,25,2500,0.3
Caloneis schroderi,Caloneis,30,5000,0.38
Caloneis schroderi,Caloneis,30,2500,0.29
Chaetoceros gracilis,Chaetoceros,5,5000,-0.01
Chaetoceros gracilis,Chaetoceros,5,2500,-0.05
Chaetoceros gracilis,Chaetoceros,10,5000,0.16
Chaetoceros gracilis,Chaetoceros,10,2500,0.07
Chaetoceros gracilis,Chaetoceros,25,5000,0.52
Chaetoceros gracilis,Chaetoceros,25,2500,0.39
Chaetoceros gracilis,Chaetoceros,30,5000,0.62
Chaetoceros gracilis,Chaetoceros,30,2500,0.73
Chaetoceros simplex,Chaetoceros,5,5000,-0.06
Chaetoceros simplex,Chaetoceros,5,2500,-0.01
Chaetoceros simplex,Chaetoceros,10,5000,0.27
Chaetoceros simplex,Chaetoceros,10,2500,0.55
Chaetoceros simplex,Chaetoceros,25,5000,0.47
Chaetoceros simplex,Chaetoceros,25,2500,0.52
Chaetoceros simplex,Chaetoceros,30,5000,0.54
Chaetoceros simplex,Chaetoceros,30,2500,0.63
Chlorella ellipsoidea,Chlorella,5,5000,0.03
Chlorella ellipsoidea,Chlorella,5,2500,0.02
Chlorella ellipsoidea,Chlorella,10,5000,0.58
Chlorella ellipsoidea,Chlorella,10,2500,0.53
Chlorella ellipsoidea,Chlorella,25,5000,0.88
Chlorella ellipsoidea,Chlorella,25,2500,0.85
Chlorella ellipsoidea,Chlorella,30,5000,0.98
Chlorella ellipsoidea,Chlorella,30,2500,0.94
Chlorella stigmatophora,Chlorella,5,5000,0.01
Chlorella stigmatophora,Chlorella,5,2500,0.24
Chlorella stigmatophora,Chlorella,10,5000,0.36
Chlorella stigmatophora,Chlorella,10,2500,0.24
Chlorella stigmatophora,Chlorella,25,5000,0.78
Chlorella stigmatophora,Chlorella,25,2500,0.56
Chlorella stigmatophora,Chlorella,30,5000,0.66
Chlorella stigmatophora,Chlorella,30,2500,0.39
Chlorella vulgaris       (freshwater),Chlorella,5,5000,-0.25
Chlorella vulgaris       (freshwater),Chlorella,5,2500,0
Chlorella vulgaris       (freshwater),Chlorella,10,5000,0.21
Chlorella vulgaris       (freshwater),Chlorella,10,2500,0.17
Chlorella vulgaris       (freshwater),Chlorella,25,5000,0.68
Chlorella vulgaris       (freshwater),Chlorella,25,2500,0.67
Chlorella vulgaris       (freshwater),Chlorella,30,5000,-0.29
Chlorella vulgaris       (freshwater),Chlorella,30,2500,-0.2
Dunaniella tertiolecta,Dunaniella,5,5000,0.28
Dunaniella tertiolecta,Dunaniella,5,2500,0.17
Dunaniella tertiolecta,Dunaniella,10,5000,0.43
